Area,LAT,LON,BID,Pop
14662,40.0750552,-88.1848293,1035,29
82256,40.1153812,-88.1655067,2027,12
7495,40.1219317,-88.2279956,3019,41
44450,40.0903851,-88.180734,5052,13
25848,40.1060303,-88.2145448,4003,16
12659,40.0848638,-88.201131,4033,16
22805,40.0912232,-88.1728265,5038,4
20205,40.0888516,-88.1964127,4036,9
18351,40.0910883,-88.1918231,2016,8
312,40.0879085,-88.2005641,4026,10
14825,40.0993506,-88.2231488,1005,2
64939,40.1097928,-88.2215834,2001,16
152410,40.1309246,-88.1992624,3024,34
258,40.0887986,-88.2006503,4006,32
29204,40.1303865,-88.2226298,1046,21
10966,40.1079229,-88.2124327,3009,140
18602,40.1033565,-88.1951067,2001,16
12153,40.1131571,-88.2231484,2014,9
2882,40.1126515,-88.208578,1042,11
4514,40.1079096,-88.1996649,4035,11
12557,40.0997844,-88.1890343,2016,8
12017,40.1131705,-88.2214905,3011,96
752,40.1231889,-88.1766642,2040,25
35708,40.0848281,-88.1661262,5070,2
1705,40.1350975,-88.214553,1027,39
1524,40.1144945,-88.2092748,1034,18
57285,40.0922506,-88.1975375,2014,9
8911,40.1104022,-88.2031483,1040,10
51294,40.099573,-88.1989987,3008,85
1083,40.1337077,-88.192603,3020,26
43611,40.1403488,-88.1751968,3008,85
26709,40.1119261,-88.1985156,1022,142
3948,40.1096924,-88.1994097,4024,57
7623,40.1195372,-88.2279811,4011,52
326,40.1016217,-88.1896694,2012,17
16912,40.1047481,-88.1861377,1005,2
13390,40.1012678,-88.1916619,2009,18
22062,40.1044192,-88.1961319,3000,50
19673,40.0902814,-88.1956551,4002,66
7931,40.1171192,-88.2279553,4019,12
20731,40.0926639,-88.1940955,2013,14
10012,40.1113386,-88.1673763,3000,50
23641,40.0999337,-88.1834054,5020,13
6588,40.116162,-88.2200517,3002,116
23685,40.1251976,-88.2258654,3008,85
22432,40.1098366,-88.2185021,2000,105
9286,40.11042,-88.2019655,1041,11
5327,40.1124038,-88.2031713,1019,78
54572,40.1157646,-88.2111942,1015,11
7799,40.1351899,-88.2034166,3006,117
13647,40.1101258,-88.1973232,4010,96
2008,40.1258879,-88.2085573,2002,22
5969,40.1109171,-88.2110566,2002,22
27179,40.1335591,-88.1972322,3029,45
24250,40.0994326,-88.2159401,4017,35
13342,40.1028695,-88.1929171,2004,24
4153,40.1171989,-88.210363,2018,9
278,40.0869696,-88.2005626,4030,15
16433,40.1008351,-88.1902703,2010,14
12006,40.1002223,-88.2183398,3009,140
12399,40.1120261,-88.2081807,1044,78
4557,40.1127398,-88.1928362,4001,42
5532,40.1104647,-88.2124596,2006,13
14221,40.0972005,-88.1730908,5031,6
108694,40.1145578,-88.2272395,2003,51
20168,40.088858,-88.1943389,4035,11
10791,40.1129897,-88.206876,1031,61
9261,40.1117018,-88.1948728,4006,32
285,40.1155089,-88.1757478,2039,9
10073,40.1161226,-88.2164943,3000,50
59446,40.0869683,-88.1951354,4012,76
90276,40.0895504,-88.2030192,4005,36
12016,40.107876,-88.2152348,3007,73
